Handle,Title,Option1 Name,Option1 Value,Body (HTML)
days-of-thunder-dvd-7,Days of Thunder,Genre,Action,"<p>Talented but unproven stock car driver Cole Trickle gets a break and with the guidance of veteran Harry Hogge turns heads on the track. The young hotshot develops a rivalry with a fellow racer that threatens his career when the two smash their cars. But with the help of his doctor, Cole just might overcome his injuries-- and his fear.</p>"
mercury-rising-dvd-floor-sale-action,Mercury Rising,Genre,Action,"<p>Renegade FBI agent Art Jeffries protects a nine-year-old autistic boy who has cracked the government's new ""unbreakable"" code.</p>"
american-psycho-dvd-floor-sale-thriller,American Psycho,Genre,Thriller,"<p>A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.</p>"
valkyrie-dvd-floor-sale-thriller,Valkyrie,Genre,Thriller,"<p>Wounded in Africa during World War II, Nazi Col. Claus von Stauffenberg returns to his native Germany and joins the Resistance in a daring plan to create a shadow government and assassinate Adolf Hitler. When events unfold so that he becomes a central player, he finds himself tasked with both leading the coup and personally killing the Führer.</p>"
iron-man-dvd-6,Iron Man,Genre,Action,"<p>After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.</p>"
sinbad-dvd-5,Sinbad,Genre,Kids & Family,<p>A brave young man fights with courage against all enemies to earn his wealth.</p>
king-kong-dvd-rental-action,King Kong,Genre,Action,"<p>In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.</p>"
man-of-steel-dvd-rental-action,Man of Steel,Genre,Action,"<p>A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.</p>"
aquaman-dvd-rental-action,Aquaman,Genre,Action,"<p>Half-human, half-Atlantean Arthur Curry is taken on the journey of his lifetime to discover if he is worth of being a king.</p>"
ronin-dvd-rental-action,Ronin,Genre,Action,"<p>A briefcase with undisclosed contents – sought by Irish terrorists and the Russian mob – makes its way into criminals' hands. An Irish liaison assembles a squad of mercenaries, or 'ronin', and gives them the thorny task of recovering the case.</p>"
glass-dvd-rental-action,Glass,Genre,Action,"<p>In a series of escalating encounters, former security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities. Meanwhile, the shadowy presence of Elijah Price emerges as an orchestrator who holds secrets critical to both men.</p>"
skyline-dvd-rental-sci-fi,Skyline,Genre,Sci-Fi,"<p>When strange lights descend on the city of Los Angeles, people are drawn outside like moths to a flame where an extraterrestrial force threatens to swallow the entire human population off the face of the Earth. Now the band of survivors must fight for their lives as the world unravels around them.</p>"
the-island-dvd-rental-sci-fi,The Island,Genre,Sci-Fi,"<p>In 2019, Lincoln Six-Echo is a resident of a seemingly ""Utopian"" but contained facility. Like all of the inhabitants of this carefully-controlled environment, Lincoln hopes to be chosen to go to The Island — reportedly the last uncontaminated location on the planet. But Lincoln soon discovers that everything about his existence is a lie.</p>"
the-scorpion-king-dvd-rental-fantasy,The Scorpion King,Genre,Fantasy,"<p>In ancient Egypt, peasant Mathayus is hired to exact revenge on the powerful Memnon and the sorceress Cassandra, who are ready to overtake Balthazar's village. Amid betrayals, thieves, abductions and more, Mathayus strives to bring justice to his complicated world.</p>"
the-legend-of-hercules-dvd-rental-fantasy,The Legend of Hercules,Genre,Fantasy,"<p>In Ancient Greece 1200 B.C., a queen succumbs to the lust of Zeus to bear a son promised to overthrow the tyrannical rule of the king and restore peace to a land in hardship. But this prince, Hercules, knows nothing of his real identity or his destiny. He desires only one thing: the love of Hebe, Princess of Crete, who has been promised to his own brother. When Hercules learns of his greater purpose, he must choose: to flee with his true love or to fulfill his destiny and become the true hero of his time. The story behind one of the greatest myths is revealed in this action-packed epic - a tale of love, sacrifice and the strength of the human spirit.</p>"
hostel-dvd-rental-horror,Hostel,Genre,Horror,"<p>Three backpackers head to a Slovakian city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.</p>"
blue-hawaii-vhs-rental-musical,Blue Hawaii,Genre,Musical,"<p>Just discharged GI Chad Gates returns to Hawaii, where he becomes a tour guide, defying his mother's wishes for him to join the family business.</p>"
brazil-vhs-rental-sci-fi,Brazil,Genre,Sci-Fi,"<p>Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.</p>"
city-of-angels-vhs-rental-drama,City of Angels,Genre,Drama,"<p>When a guardian angel – who invisibly watches over the citizens of Los Angeles – becomes captivated by a strong-willed heart surgeon, he ponders trading in his pure, otherworldly existence for a mortal life with his beloved. The couple embarks on a tender but forbidden romance spanning heaven and Earth.</p>"
shane-vhs-rental-action,Shane,Genre,Action,"<p>A weary gunfighter attempts to settle down with a homestead family, but a smouldering settler and rancher conflict forces him to act.</p>"
liar-liar-vhs-rental-comedy,Liar Liar,Genre,Comedy,"<p>Forced by his son's birthday wish, fast-talking attorney and habitual liar Fletcher Reede must tell the truth for the next 24 hours.</p>"
twister-vhs-rental-action,Twister,Genre,Action,"<p>An unprecedented series of violent tornadoes is sweeping across Oklahoma. Tornado chasers, headed by Dr. Jo Harding, attempt to release a groundbreaking device that will allow them to track them and create a more advanced warning system. They are joined by Jo's soon to be ex-husband Bill, a former tornado chaser himself, and his girlfriend Melissa.</p>"
an-officer-and-a-gentleman-vhs-rental-drama,An Officer and a Gentleman,Genre,Drama,"<p>Zack Mayo is an aloof, taciturn man who aspires to be a navy pilot. Once he arrives at training camp for his 13-week officer's course, Mayo runs afoul of abrasive, no-nonsense drill Sergeant Emil Foley. Mayo is an excellent cadet, but a little cold around the heart, so Foley rides him mercilessly, sensing that the young man would be prime officer material if he weren't so self-involved. Zack's affair with a working girl is likewise compromised by his unwillingness to give of himself.</p>"
hook-vhs-rental-kids-family,Hook,Genre,Kids & Family,"<p>The boy who wasn't supposed to grow up—Peter Pan—does just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. During his trip to see Granny Wendy in London, the vengeful Capt. Hook kidnaps Peter's kids and forces Peter to return to Neverland.</p>"
babe-vhs-rental-kids-family,Babe,Genre,Kids & Family,"<p>Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.</p>"
lady-and-the-tramp-vhs-10,Lady and the Tramp,Genre,Kids & Family,"<p>Lady, a golden cocker spaniel, meets up with a mongrel dog who calls himself the Tramp. He is obviously from the wrong side of town, but happenings at Lady's home make her decide to travel with him for a while.</p>"
aladdin-vhs-8,Aladdin,Genre,Kids & Family,"<p>In the boorish city of Agrabah, kind-hearted street urchin Aladdin and Princess Jasmine fall in love, although she can only marry a prince. He and power-hungry Grand Vizier Jafar vie for a magic lamp that can fulfill their wishes.</p>"
beethoven-vhs-rental-kids-family,Beethoven,Genre,Kids & Family,"<p>The Newton family live in their comfortable home, but there seems to something missing. This ""hole"" is filled by a small puppy, who walks into their home and their lives. Beethoven, as he is named, grows into a giant of a dog... a St Bernard. Doctor Varnick, the local vet has a secret and horrible sideline, which requires lots of dogs for experiments. Beethoven is on the bad doctor's list.</p>"
